Name,Short description,Last price,New price,Image name
Apple iPhone 13 Pro 256 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-256-gb-silver-245710.jpg
Apple iPhone 13 Pro 512 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-512-gb-sierra-blue-246572.jpg
Apple iPhone 13 Pro 256 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-6-gb-256-gb-sierra-dual-sim-blue-055.jpg
Apple iPhone 13 Pro 256 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-256-gb-dual-sim-graphite-246586.jpg
Apple iPhone 13 Pro 512 ГБ Золотой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",37 999 лей,35 999 лей,darwin-apple-iphone-13-pro-6-gb-512-gb-dual-sim-gold-078.jpg
Apple iPhone 13 Pro 128 ГБ Серебристый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-dual-sim-silver-037.jpg
Apple iPhone 13 Pro 128 ГБ Графитовый,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,darwin-apple-iphone-13-pro-128-gb-graphite-246592.jpg
Apple iPhone 13 Pro 128 ГБ Золотой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,darwin-apple-iphone-13-pro-6-gb-128-gb-dual-sim-gold-061.jpg
Apple iPhone 13 Pro 128 ГБ Небесно Голубой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",None,27 999 лей,apple-iphone-13-pro-128-gb-sierra-dual-sim-culoarea-de-bazavalue57-246599.jpg
Apple iPhone 13 Pro 256 ГБ Золотой,"6.1"" | 12 Мп | 6 ГБ | Dual SIM",31 999 лей,29 999 лей,darwin-apple-iphone-13-pro-6-gb-256-gb-dual-sim-gold-096.jpg
Apple iPhone 13 128 ГБ Midnight,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-4-gb-128-gb-dual-sim-midnight-092.jpg
Apple iPhone 13 256 ГБ Красный,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",24 999 лей,23 999 лей,darwin-apple-iphone-13-4-gb-256-gb-red-236979.jpg
Apple iPhone 13 256 ГБ Розовый,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",24 999 лей,23 999 лей,darwin-apple-iphone-13-4-gb-256-gb-dual-sim-pink-236999.jpg
Apple iPhone 13 128 ГБ Розовый,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-4-gb-128-gb-dual-sim-pink-237035.jpg
Apple iPhone 13 128 ГБ Синий,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",21 999 лей,20 999 лей,darwin-apple-iphone-13-4-gb-128-gb-dual-sim-blue-237044.jpg
Apple iPhone 13 256 ГБ Синий,"6.1"" | 12 Мп | 4 ГБ | Dual SIM",24 999 лей,23 999 лей,darwin-apple-iphone-13-4-gb-128-gb-blue-236885.jpg
